2021-04-24/11:20:04		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-04-24/11:20:05		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-04-24/11:20:06		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-04-24/11:20:07		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-04-24/11:20:08		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-04-24/11:20:08		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-04-24/11:20:10		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-04-24/11:20:11		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-04-24/11:20:12		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-04-24/11:39:03		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-04-24/11:39:04		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-04-24/11:39:04		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-04-24/11:39:05		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-04-24/11:39:06		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-04-24/11:39:06		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-04-24/11:39:07		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-04-24/11:39:11		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-04-24/11:39:12		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-04-25/15:35:57		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-04-25/15:35:58		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-04-25/15:35:59		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-04-25/15:36:00		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-04-25/15:36:01		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-04-25/15:36:01		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-04-25/15:36:03		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-04-25/15:36:04		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-04-25/15:36:05		 wafer_29012020_050617.csv: File Transformed successfully!!
